	accountNumber	customerId	creditLimit	availableMoney	transactionDateTime	transactionAmount	merchantName	acqCountry	merchantCountryCode	posEntryMode	posConditionCode	merchantCategoryCode	currentExpDate	accountOpenDate	dateOfLastAddressChange	cardCVV	enteredCVV	cardLast4Digits	transactionType	isFraud	echoBuffer	currentBalance	merchantCity	merchantState	merchantZip	cardPresent	posOnPremises	recurringAuthInd	expirationDateKeyInMatch	currentBalanceDiff
14646	669951230	669951230	1000.0	742.35	2016-10-03 12:56:09	56.53	McDonalds #285600	US	US	90	08	fastfood	12/2022	2015-03-05	2016-08-14	226	226	3453	REVERSAL	0.0		257.65				1.0			0.0	56.52999999999997
14661	904800108	904800108	7500.0	5782.74	2016-06-12 10:56:00	291.91	walmart.com	US	US	05	08	online_retail	03/2021	2014-12-17	2014-12-17	428	428	9666	REVERSAL	0.0		1717.26				0.0			0.0	291.9100000000001
14671	458230368	458230368	50000.0	49353.69	2016-07-15 09:43:16	163.05	gap.com	US	US	05	08	online_retail	04/2027	2013-05-13	2013-05-13	167	167	3150	REVERSAL	0.0		646.31				0.0			0.0	163.04999999999995
14678	913088788	913088788	15000.0	10145.93	2016-01-16 08:03:06	541.37	53rd Beauty	US	US	09	01	personal care	09/2022	2015-08-01	2015-08-01	173	173	989	REVERSAL	0.0		4854.07				1.0			0.0	541.3699999999999
14683	913088788	913088788	15000.0	10262.77	2016-04-25 23:46:40	23.2	Wendys #425927	US	US	09	01	fastfood	05/2028	2015-08-01	2015-08-01	173	173	989	REVERSAL	0.0		4737.23				1.0			0.0	23.199999999999818
14690	913088788	913088788	15000.0	13031.97	2016-08-12 07:25:19	274.38	American Airlines	US	US	05	01	airline	12/2026	2015-08-01	2015-08-01	173	173	989	REVERSAL	0.0		1968.03				0.0			0.0	274.3799999999999
14696	913088788	913088788	15000.0	12970.12	2016-10-26 04:07:13	42.42	Universe Massage #114220	US	US	09	01	personal care	07/2021	2015-08-01	2015-08-01	173	173	989	REVERSAL	0.0		2029.88				1.0			0.0	42.42000000000007
14701	770542953	770542953	15000.0	14020.82	2016-03-18 21:37:16	24.3	Shake Shack #662166	US	US	02	01	fastfood	04/2022	2010-06-05	2010-06-05	967	967	6766	REVERSAL	0.0		979.18				1.0			0.0	24.299999999999955
14710	645424830	645424830	20000.0	19056.65	2016-05-07 15:10:24	284.12	Lyft	US	US	09	01	rideshare	05/2029	2015-09-03	2015-09-03	607	607	4416	REVERSAL	0.0		943.35				0.0			0.0	284.12
14717	826751805	826751805	7500.0	7476.18	2016-05-11 07:12:18	23.82	amazon.com	US	US	09	01	online_retail	07/2024	2013-02-27	2013-02-27	701	701	3590	REVERSAL	1.0		23.82				0.0			0.0	23.82
14746	936795603	936795603	5000.0	4709.89	2016-04-24 08:22:13	93.1	Uber	US	US	02	08	rideshare	03/2027	2014-02-27	2014-02-27	166	166	9963	REVERSAL	0.0		290.11				0.0			0.0	93.10000000000002
14751	936795603	936795603	5000.0	4244.8	2016-08-16 23:32:41	102.37	Dinosaur Sandwitch Bar #960325	US	US	05	01	food	02/2028	2014-02-27	2014-02-27	933	933	696	REVERSAL	0.0		755.2				1.0			0.0	102.37
14754	936795603	936795603	5000.0	4557.77	2016-10-10 05:50:24	33.88	Best Deli #316476	US	US	09	01	food	04/2024	2014-02-27	2014-02-27	933	933	696	REVERSAL	0.0		442.23				1.0			0.0	33.879999999999995
14771	441870023	441870023	1000.0	405.52	2016-04-10 19:52:33	295.89	Lyft	US	US	02	01	rideshare	05/2018	2014-05-17	2014-05-17	408	408	3455	REVERSAL	0.0		594.48				0.0			0.0	295.89000000000004
14778	441870023	441870023	1000.0	749.53	2016-10-30 09:35:52	63.37	Uber	US	US	02	08	rideshare	05/2026	2014-05-17	2016-04-16	408	408	3455	PURCHASE	0.0		250.47				0.0			0.0	250.47
14823	979187005	979187005	5000.0	3819.07	2016-01-09 03:27:58	58.81	1st Restaurant	US	US	09	01	food	11/2031	2015-03-16	2015-03-16	741	141	2315	REVERSAL	0.0		1180.93				1.0			0.0	58.81000000000017
14825	979187005	979187005	5000.0	1863.22	2016-01-17 06:46:57	67.85	Dunkin' Donuts #65877	US	US	05	01	fastfood	10/2029	2015-03-16	2015-03-16	741	741	2315	REVERSAL	0.0		3136.78				1.0			0.0	67.85000000000036
14839	979187005	979187005	5000.0	1292.25	2016-02-25 20:59:37	171.42	Cinnabon #342947	US	US	09	01	fastfood	03/2023	2015-03-16	2016-01-29	741	741	2315	REVERSAL	0.0		3707.75				1.0			0.0	171.42000000000007
14866	979187005	979187005	5000.0	2280.61	2016-06-10 18:31:04	125.87	Dinosaur Restaurant	US	US	09	01	food	03/2031	2015-03-16	2016-01-29	741	741	2315	REVERSAL	0.0		2719.39				1.0			0.0	125.86999999999989
14874	979187005	979187005	5000.0	3245.68	2016-07-04 02:11:18	40.27	34th BBQ #166379	US	US	09	01	food	12/2019	2015-03-16	2016-06-14	741	741	2315	REVERSAL	0.0		1754.32				1.0			0.0	40.26999999999998
14875	979187005	979187005	5000.0	753.99	2016-07-07 03:59:02	91.84	walmart.com	US	US	05	01	online_retail	07/2021	2015-03-16	2016-07-05	741	741	2315	REVERSAL	0.0		4246.01				0.0			0.0	91.84000000000015
14907	979187005	979187005	5000.0	1474.5	2016-10-15 17:37:08	2.47	Uptown Steakhouse	US	US	90	01	food	09/2022	2015-03-16	2016-07-22	741	741	2315	REVERSAL	0.0		3525.5				1.0			0.0	2.4699999999998
14912	979187005	979187005	5000.0	3494.29	2016-10-28 20:27:25	362.25	1st Pub	US	US	09	01	food	05/2031	2015-03-16	2016-07-22	741	741	2315	REVERSAL	0.0		1505.71				1.0			0.0	362.25
14914	979187005	979187005	5000.0	4094.8	2016-11-02 05:49:00	30.92	oldnavy.com	US	US	02	01	online_retail	09/2019	2015-03-16	2016-07-22	741	741	2315	REVERSAL	0.0		905.2				0.0			0.0	30.920000000000073
14949	921157285	921157285	500.0	182.11	2016-02-28 05:42:25	168.81	AMC #692956	US	US	05	01	entertainment	10/2025	2013-11-28	2013-11-28	388	388	4301	REVERSAL	0.0		317.89				1.0			0.0	168.80999999999997
14951	921157285	921157285	500.0	148.03	2016-03-02 14:36:49	351.97	AMC #128743	US	US	02	01	entertainment	03/2025	2013-11-28	2013-11-28	388	388	4301	REVERSAL	0.0		351.97				1.0			0.0	351.97
15003	288191453	288191453	15000.0	14991.3	2016-02-03 19:18:10	8.7	Boston Pub	US	US	05	01	food	03/2027	2015-01-02	2015-01-02	357	357	6713	REVERSAL	0.0		8.7				1.0			0.0	8.7
15042	100973869	100973869	1000.0	533.62	2016-02-29 15:42:21	124.63	Uber	US	US	02	01	rideshare	08/2029	2014-12-29	2014-12-29	706	706	4059	REVERSAL	0.0		466.38				0.0			0.0	124.63
15062	604114040	604114040	20000.0	18365.45	2016-01-07 01:17:33	610.06	Burger King #316482	US	US	02	01	fastfood	11/2026	2015-02-21	2015-02-21	445	445	4468	REVERSAL	0.0		1634.55				1.0			0.0	610.06
15063	604114040	604114040	20000.0	18225.94	2016-01-09 21:13:33	389.77	Pizza Hut #532204	US	US	09	01	fastfood	05/2024	2015-02-21	2015-02-21	684	684	0000	REVERSAL	0.0		1774.06				1.0			0.0	389.77
15071	604114040	604114040	20000.0	2043.3	2016-04-04 01:48:26	28.85	Arbys #46046	US	US	05	01	fastfood	08/2026	2015-02-21	2016-03-21	445	445	4468	REVERSAL	0.0		17956.7				1.0			0.0	28.850000000002183
15085	604114040	604114040	20000.0	4338.38	2016-09-07 15:13:39	164.38	Quizno's #437708	US	US	02	01	fastfood	02/2026	2015-02-21	2016-05-16	445	445	4468	REVERSAL	0.0		15661.62				1.0			0.0	164.38000000000102
15090	604114040	604114040	20000.0	8832.65	2016-10-14 23:49:51	224.4	Hyatt House #687337	US	US	05	01	hotels	07/2024	2015-02-21	2016-05-16	684	684	0000	REVERSAL	0.0		11167.35				0.0			0.0	224.39999999999964
15131	800562031	800562031	10000.0	9812.05	2016-04-15 22:31:17	124.15	gap.com	US	US	02	01	online_retail	05/2031	2008-11-16	2008-11-16	733	733	9853	REVERSAL	0.0		187.95				0.0			0.0	124.14999999999999
15142	894403663	894403663	10000.0	7193.65	2016-05-20 10:34:50	34.28	Lyft	US	US	09	01	rideshare	05/2027	2015-03-20	2015-03-20	158	158	7531	REVERSAL	0.0		2806.35				0.0			0.0	34.279999999999745
15165	924273244	924273244	7500.0	7273.04	2016-04-01 12:34:25	226.96	Rodeway Inn #830050	US	US	09	01	hotels	02/2024	2012-06-17	2012-06-17	351	351	8854	REVERSAL	0.0		226.96				1.0			0.0	226.96
15166	924273244	924273244	7500.0	3587.22	2016-04-28 09:47:42	22.07	Rodeway Inn #43522	US	US	02	01	hotels	01/2023	2012-06-17	2012-06-17	351	351	8854	REVERSAL	0.0		3912.78				0.0			0.0	22.070000000000164
15170	924273244	924273244	7500.0	4562.82	2016-06-07 03:44:46	387.23	Rodeway Inn #599249	US	US	05	01	hotels	08/2023	2012-06-17	2012-06-17	351	351	8854	REVERSAL	0.0		2937.18				0.0			0.0	387.23
15175	924273244	924273244	7500.0	3869.72	2016-09-23 03:43:33	123.42	Hyatt House #183448	US	US	02	01	hotels	01/2027	2012-06-17	2016-07-13	351	351	8854	REVERSAL	0.0		3630.28				1.0			0.0	123.42000000000007
15178	924273244	924273244	7500.0	4306.85	2016-11-21 14:14:50	18.38	Rodeway Inn #869467	US	US	09	01	hotels	12/2018	2012-06-17	2016-10-24	351	351	8854	REVERSAL	0.0		3193.15				0.0			0.0	18.38000000000011
15186	389039056	389039056	2500.0	1121.83	2016-01-18 03:45:48	352.47	ebay.com	US	US	09	01	online_retail	06/2025	2015-12-21	2015-12-21	883	883	359	REVERSAL	0.0		1378.17				0.0			0.0	352.47
15196	389039056	389039056	2500.0	2004.2	2016-04-07 19:39:55	4.3	sears.com	US	US	05	01	online_retail	02/2028	2015-12-21	2015-12-21	883	883	359	REVERSAL	0.0		495.8				0.0			0.0	4.300000000000011
15197	389039056	389039056	2500.0	1030.57	2016-04-10 14:09:08	121.41	walmart.com	US	US	09	01	online_retail	02/2021	2015-12-21	2015-12-21	883	883	359	REVERSAL	0.0		1469.43				0.0			0.0	121.41000000000008
15275	876887968	876887968	1000.0	428.95	2016-09-27 16:58:33	97.05	Universe Massage #804502	US	US	02	01	personal care	10/2027	2013-04-13	2016-09-26	724	724	3093	REVERSAL	0.0		571.05				1.0			0.0	97.04999999999995
15300	596998124	596998124	15000.0	12899.92	2016-04-04 08:43:12	50.13	Taco Bell #263861	US	US	09	01	fastfood	12/2023	2015-07-15	2015-07-15	442	442	3590	REVERSAL	0.0		2100.08				1.0			0.0	50.13000000000011
15307	381480469	381480469	1000.0	312.49	2016-03-03 03:24:33	55.44	Starbucks #499998	US	US	09	08	fastfood	06/2025	2015-02-12	2015-02-12	454	454	9642	REVERSAL	0.0		687.51				1.0			0.0	55.43999999999994
15326	381480469	381480469	1000.0	965.69	2016-11-28 18:16:03	34.31	AMC #692956	US	US	02	01	entertainment	02/2019	2015-02-12	2015-02-12	454	454	9642	REVERSAL	0.0		34.31				1.0			0.0	34.31
15360	314112573	314112573	250.0	125.4	2016-03-09 04:07:30	118.32	EZ Putt Putt #240241	US	US	09	01	entertainment	04/2030	2014-11-16	2014-11-16	986	986	7877	PURCHASE	0.0		124.6				1.0			0.0	124.6
15411	314112573	314112573	250.0	132.39	2016-09-20 11:40:28	133.35	EZ Putt Putt #240241	US	US	02	01	entertainment	11/2029	2014-11-16	2014-11-16	986	986	7877	PURCHASE	0.0		117.61				1.0			0.0	117.61
15417	314112573	314112573	250.0	89.89	2016-10-05 18:41:35	160.11	AMC #692956	US	US	05	08	entertainment	03/2019	2014-11-16	2014-11-16	986	986	7877	PURCHASE	0.0		160.11				1.0			0.0	160.11
15519	804644772	804644772	250.0	84.0	2016-05-30 10:32:29	39.4	Lyft	US	US	09	01	rideshare	02/2019	2015-02-14	2015-02-14	355	355	2676	REVERSAL	0.0		166.0				0.0			0.0	39.400000000000006
15538	804644772	804644772	250.0	130.08	2016-10-18 17:17:03	119.92	Lyft	US	US	02	01	rideshare	10/2031	2015-02-14	2015-02-14	355	355	2676	PURCHASE	0.0		119.92				0.0			0.0	119.92
15558	173544488	173544488	7500.0	1869.1	2016-04-30 15:52:15	97.42	AMC #606218	US	US	09	01	entertainment	08/2023	2014-04-12	2014-04-12	711	711	460	REVERSAL	0.0		5630.9				1.0			0.0	97.42000000000007
15560	173544488	173544488	7500.0	1151.22	2016-05-10 23:20:06	98.35	AMC #145832	US	US	09	08	entertainment	04/2025	2014-04-12	2014-04-12	437	437	6343	REVERSAL	0.0		6348.78				1.0			0.0	98.34999999999945
15566	173544488	173544488	7500.0	1267.82	2016-06-29 15:28:46	107.86	Uber	US	US	02	01	rideshare	08/2021	2014-04-12	2016-05-28	407	407	585	REVERSAL	0.0		6232.18				0.0			0.0	107.86000000000058
15570	173544488	173544488	7500.0	5693.55	2016-07-10 01:34:33	225.94	Universe Massage #807254	US	US	05	01	personal care	04/2019	2014-04-12	2016-05-28	437	437	6343	REVERSAL	0.0		1806.45				1.0			0.0	225.94000000000005
15576	173544488	173544488	7500.0	2515.46	2016-09-06 14:16:40	110.5	EZ Putt Putt #40513	US	US	09	08	entertainment	11/2028	2014-04-12	2016-05-28	711	711	460	REVERSAL	0.0		4984.54				1.0			0.0	110.5
15581	173544488	173544488	7500.0	884.42	2016-10-20 07:59:57	230.95	AMC #191138	US	US	02	01	entertainment	01/2024	2014-04-12	2016-05-28	711	711	460	REVERSAL	0.0		6615.58				1.0			0.0	230.94999999999982
15585	173544488	173544488	7500.0	1277.03	2016-10-29 20:28:19	118.1	EZ Putt Putt #40513	US	US	09	08	entertainment	09/2027	2014-04-12	2016-05-28	437	437	6343	REVERSAL	0.0		6222.97				1.0			0.0	118.10000000000036
15592	173544488	173544488	7500.0	4419.73	2016-12-08 21:08:32	102.28	AMC #724446	US	US	05	01	entertainment	02/2031	2014-04-12	2016-12-06	711	711	460	REVERSAL	0.0		3080.27				1.0			0.0	102.2800000000002
15593	173544488	173544488	7500.0	3116.98	2016-12-12 18:06:58	279.9	Regal Cinemas #729464	US	US	09	01	entertainment	04/2027	2014-04-12	2016-12-06	437	437	6343	REVERSAL	0.0		4383.02				1.0			0.0	279.90000000000055
15624	221745713	221745713	500.0	408.19	2016-08-09 16:12:31	91.81	amazon.com	US	US	02	01	online_retail	09/2018	2015-12-08	2015-12-08	811	811	9845	REVERSAL	0.0		91.81				0.0			0.0	91.81
15630	579027704	579027704	15000.0	12778.15	2016-05-14 17:02:30	166.26	Lyft	US	US	09	01	rideshare	02/2019	2011-12-18	2011-12-18	765	765	7565	REVERSAL	0.0		2221.85				0.0			0.0	166.25999999999976
15634	797774468	797774468	5000.0	4970.42	2016-07-26 09:25:18	30.58	Mobil Gas #687332	US	US	05	08	fuel	10/2019	2014-05-12	2014-05-12	625	625	6372	PURCHASE	0.0		29.58				1.0			0.0	29.58
15635	797774468	797774468	5000.0	4970.73	2016-08-23 06:58:14	29.94	Mobil Gas #687332	US	US	05	08	fuel	10/2019	2014-05-12	2014-05-12	625	625	6372	PURCHASE	0.0		29.27				1.0			0.0	29.27
15638	797774468	797774468	5000.0	4971.22	2016-11-30 05:17:13	29.19	Mobil Gas #687332	US	US	05	08	fuel	10/2019	2014-05-12	2014-05-12	625	625	6372	PURCHASE	0.0		28.78				1.0			0.0	28.78
15639	797774468	797774468	5000.0	4963.4	2016-12-28 03:19:53	34.57	Mobil Gas #687332	US	US	05	08	fuel	10/2019	2014-05-12	2014-05-12	625	625	6372	PURCHASE	0.0		36.6				1.0			0.0	36.6
15655	319431745	319431745	7500.0	841.29	2016-06-21 07:35:07	123.49	McDonalds #42103	US	US	05	01	fastfood	05/2029	2015-02-01	2016-03-13	628	628	8518	REVERSAL	0.0		6658.71				1.0			0.0	123.48999999999978
15659	319431745	319431745	7500.0	3743.2	2016-08-16 17:23:28	9.95	cheapfast.com	US	US	02	01	online_retail	05/2021	2015-02-01	2016-03-13	483	483	7661	REVERSAL	0.0		3756.8				0.0			0.0	9.950000000000273
15679	658413568	658413568	7500.0	7286.27	2016-05-09 09:32:28	4.72	McDonalds #358547	US	US	02	08	fastfood	12/2021	2015-02-23	2015-02-23	105	105	4030	REVERSAL	0.0		213.73				1.0			0.0	4.719999999999999
15681	678514687	678514687	15000.0	14396.77	2016-02-16 12:47:28	66.43	discount.com	US	US	05	01	online_retail	12/2022	2010-06-08	2010-06-08	692	692	3580	REVERSAL	0.0		603.23				0.0			0.0	66.43000000000006
15689	243374440	243374440	15000.0	9714.75	2016-02-25 17:18:52	117.44	Wendys #933486	US	US	09	01	fastfood	12/2029	2014-11-05	2014-11-05	912	912	1092	REVERSAL	0.0		5285.25				1.0			0.0	117.4399999999996
15690	243374440	243374440	15000.0	7908.72	2016-03-14 00:26:01	133.28	KFC #877591	US	US	05	01	fastfood	08/2026	2014-11-05	2014-11-05	912	912	1092	REVERSAL	0.0		7091.28				1.0			0.0	133.27999999999975
15691	243374440	243374440	15000.0	7922.52	2016-03-15 15:53:01	55.2	Dunkin' Donuts #963251	US	US	02	01	fastfood	10/2026	2014-11-05	2014-11-05	912	912	1092	REVERSAL	0.0		7077.48				1.0			0.0	55.19999999999982
15692	243374440	243374440	15000.0	4691.28	2016-04-14 17:05:24	37.84	Domino's Pizza #782997	US	US	05	01	fastfood	08/2031	2014-11-05	2014-11-05	912	912	1092	REVERSAL	0.0		10308.72				1.0			0.0	37.840000000000146
15693	243374440	243374440	15000.0	3883.45	2016-04-20 18:10:07	199.02	Regal Cinemas #276341	US	US	09	01	entertainment	10/2028	2014-11-05	2014-11-05	912	912	1092	REVERSAL	0.0		11116.55				1.0			0.0	199.01999999999862
15701	405231558	405231558	20000.0	19753.08	2016-01-12 08:16:36	188.07	United Airlines	US	US	02	01	airline	08/2029	2015-07-30	2015-07-30	843	843	2024	REVERSAL	0.0		246.92				0.0			0.0	188.07
15722	837572727	837572727	15000.0	14557.88	2016-06-24 20:28:26	21.2	Lyft	US	US	05	08	rideshare	07/2024	2013-08-25	2013-08-25	200	200	9896	REVERSAL	0.0		442.12				0.0			0.0	21.19999999999999
15735	199006116	199006116	7500.0	747.7	2016-11-10 00:19:25	128.31	Franks Pub #53336	US	US	05	01	food	04/2029	2015-08-23	2015-08-23	795	795	1581	REVERSAL	0.0		6752.3				1.0			0.0	128.3100000000004
15751	556095762	556095762	5000.0	4954.81	2016-03-27 06:32:41	36.28	Shell Gas #151010	US	US	05	08	fuel	01/2030	2013-08-22	2013-08-22	226	226	4220	PURCHASE	0.0		45.19				1.0			0.0	45.19
15752	556095762	556095762	5000.0	4959.91	2016-04-23 07:08:38	39.57	Shell Gas #151010	US	US	05	08	fuel	01/2030	2013-08-22	2013-08-22	226	226	4220	PURCHASE	0.0		40.09				1.0			0.0	40.09
15753	556095762	556095762	5000.0	4958.45	2016-05-21 20:21:17	46.25	Shell Gas #151010	US	US	05	08	fuel	01/2030	2013-08-22	2013-08-22	226	226	4220	PURCHASE	0.0		41.55				1.0			0.0	41.55
15754	556095762	556095762	5000.0	4960.06	2016-06-17 17:28:10	39.42	Shell Gas #151010	US	US	05	08	fuel	01/2030	2013-08-22	2013-08-22	226	226	4220	PURCHASE	0.0		39.94				1.0			0.0	39.94
15756	556095762	556095762	5000.0	4963.72	2016-08-27 21:56:13	43.68	Shell Gas #151010	US	US	05	08	fuel	01/2030	2013-08-22	2013-08-22	226	226	4220	PURCHASE	0.0		36.28				1.0			0.0	36.28
15765	930431098	930431098	15000.0	7987.58	2016-09-12 16:09:42	95.68	Rodeway Inn #138502	US	US	02	01	hotels	10/2021	2014-11-06	2014-11-06	102	102	9590	REVERSAL	0.0		7012.42				1.0			0.0	95.68000000000029
15769	878948463	878948463	5000.0	4960.0	2016-03-19 17:25:04	248.34	Lyft	US	US	09	01	rideshare	07/2021	2013-03-11	2013-03-11	845	845	36	PURCHASE	0.0		40.0				0.0			0.0	40.0
15770	878948463	878948463	5000.0	4845.22	2016-04-24 18:31:16	272.71	Lyft	US	US	02	01	rideshare	05/2027	2013-03-11	2013-03-11	845	845	36	PURCHASE	0.0		154.78				0.0			0.0	154.78
15776	115333210	115333210	5000.0	4907.18	2016-01-01 08:47:54	46.41	cheapfast.com	US	US	05	01	online_retail	06/2024	2015-09-13	2015-09-13	856	856	2255	REVERSAL	0.0		92.82				0.0			0.0	46.41
15806	980828253	980828253	15000.0	13473.11	2016-08-11 09:13:33	264.43	Hyatt House #862691	US	US	05	08	hotels	12/2029	2015-10-26	2016-07-21	898	898	7900	REVERSAL	0.0		1526.89				0.0			0.0	264.43000000000006
15816	703720146	703720146	15000.0	11939.69	2016-11-18 21:33:07	401.09	Auntie Anne's #366430	US	US		01	fastfood	06/2024	2015-03-09	2015-03-09	684	684	3273	REVERSAL	0.0		3060.31				1.0			0.0	401.09000000000015
15827	372218389	372218389	2500.0	967.67	2016-06-08 00:12:55	96.72	Planet Fitness #401356	US	US	05	01	health	07/2028	2015-10-27	2015-10-27	621	621	3424	REVERSAL	0.0		1532.33				0.0			0.0	96.72000000000003
15836	369628459	369628459	50000.0	49618.46	2016-04-14 18:36:39	10.83	Starbucks #454714	US	US	05	01	fastfood	12/2019	2004-08-03	2004-08-03	449	449	1600	REVERSAL	0.0		381.54				1.0			0.0	10.830000000000041
15841	369628459	369628459	50000.0	49749.08	2016-08-11 04:16:32	208.54	Burger King #734927	US	US	02	08	fastfood	03/2025	2004-08-03	2004-08-03	666	666	2624	REVERSAL	0.0		250.92				1.0			0.0	208.54
15851	326308759	326308759	20000.0	12399.2	2016-02-14 13:13:36	212.67	Quizno's #477226	US	US	02	01	fastfood	11/2030	2013-11-26	2013-11-26	166	166	5800	REVERSAL	0.0		7600.8				1.0			0.0	212.67000000000007
15852	326308759	326308759	20000.0	10143.77	2016-02-20 14:49:10	135.62	Hilton Hotels #698635	US	US	02	01	hotels	12/2021	2013-11-26	2013-11-26	166	166	5800	REVERSAL	0.0		9856.23				1.0			0.0	135.61999999999898
15864	326308759	326308759	20000.0	11726.26	2016-05-15 19:25:46	25.41	Walgreens #342442	US	US	09	01	health	03/2024	2013-11-26	2013-11-26	166	166	5800	REVERSAL	0.0		8273.74				1.0			0.0	25.409999999999854
15875	326308759	326308759	20000.0	15878.58	2016-07-08 20:44:03	199.35	Starbucks #102806	US	US	05	01	fastfood	12/2021	2013-11-26	2016-07-04	166	166	5800	REVERSAL	0.0		4121.42				1.0			0.0	199.3499999999999
15879	326308759	326308759	20000.0	10332.55	2016-08-23 01:08:51	107.05	NYSC #91039	US	US	09	01	health	06/2023	2013-11-26	2016-07-04	166	166	5800	REVERSAL	0.0		9667.45				1.0			0.0	107.05000000000109
15887	326308759	326308759	20000.0	12414.99	2016-11-19 23:22:19	127.39	Powerlifting #71092	US	US	05	08	health	12/2026	2013-11-26	2016-11-19	166	166	5800	REVERSAL	0.0		7585.01				0.0			0.0	127.39000000000033
15892	326308759	326308759	20000.0	13938.53	2016-12-18 06:04:57	172.55	Walgreens #999008	US	US	05	01	health	10/2023	2013-11-26	2016-11-19	166	166	5800	REVERSAL	0.0		6061.47				0.0			0.0	172.55000000000018
15901	858210058	858210058	500.0	84.57	2016-01-29 01:03:59	124.81	sears.com	US	US	09	01	online_retail	02/2021	2015-11-01	2015-11-01	961	961	3556	REVERSAL	0.0		415.43				0.0			0.0	124.81
15983	858210058	858210058	500.0	178.01	2016-12-27 01:17:28	321.99	Washington Post	US	US	05	01	subscriptions	06/2024	2015-11-01	2016-02-03	961	961	3556	REVERSAL	0.0		321.99				1.0			0.0	321.99
16023	840594231	840594231	2500.0	651.97	2016-06-28 11:18:44	313.73	Next Day Online Services	US	US	05	01	online_gifts	11/2030	2014-10-24	2014-10-24	677	677	2777	REVERSAL	0.0		1848.03				0.0			0.0	313.73
16025	840594231	840594231	2500.0	1664.13	2016-07-04 14:14:22	334.96	Wendys #34268	US	US	05	08	fastfood	10/2029	2014-10-24	2014-10-24	677	677	2777	REVERSAL	0.0		835.87				1.0			0.0	334.96
16036	840594231	840594231	2500.0	691.05	2016-09-26 11:26:19	103.47	Fresh eCards	US	US	05	01	online_gifts	06/2026	2014-10-24	2014-10-24	677	677	2777	REVERSAL	0.0		1808.95				0.0			0.0	103.47000000000003
16102	723763336	723763336	20000.0	17403.27	2016-06-13 08:31:36	285.85	Auntie Anne's #333365	US	US	09	08	fastfood	07/2019	2014-01-09	2014-01-09	368	368	9816	REVERSAL	0.0		2596.73				1.0			0.0	285.8499999999999
16109	543887911	543887911	15000.0	11604.23	2016-02-19 16:42:20	186.02	Washington Auto Body	US	US	05	01	auto	08/2026	2011-11-07	2011-11-07	745	745	8719	REVERSAL	0.0		3395.77				1.0			0.0	186.01999999999998
16110	543887911	543887911	15000.0	7763.93	2016-04-29 14:35:23	1.97	Lyft	US	US	09	01	rideshare	06/2026	2011-11-07	2016-03-30	745	745	8719	REVERSAL	0.0		7236.07				0.0			0.0	1.9699999999993452
16116	543887911	543887911	15000.0	928.26	2016-11-11 11:39:36	83.76	Eazy Auto Body	US	US	09	01	auto	12/2025	2011-11-07	2016-03-30	745	745	8719	REVERSAL	0.0		14071.74				1.0			0.0	83.76000000000022
16118	543887911	543887911	15000.0	1664.42	2016-12-02 20:09:41	42.09	Uber	US	US	90	01	rideshare	11/2027	2011-11-07	2016-03-30	745	745	8719	REVERSAL	0.0		13335.58				0.0			0.0	42.090000000000146
16121	635251329	635251329	15000.0	14851.58	2016-02-04 11:09:16	51.84	cheapfast.com	US	US	09	01	online_retail	08/2027	2015-09-25	2015-09-25	383	383	0000	PURCHASE	0.0		148.42				0.0			0.0	148.42
16127	635251329	635251329	15000.0	14234.6	2016-07-27 01:01:43	129.88	apple.com	US	US	02	08	online_retail	10/2024	2015-09-25	2015-09-25	383	383	0000	REVERSAL	1.0		765.4				0.0			0.0	129.88
16157	976815120	976815120	15000.0	13759.38	2016-11-08 16:53:44	153.23	cheapfast.com	US	US	05	08	online_retail	06/2023	2014-09-09	2016-10-26	748	748	2930	REVERSAL	0.0		1240.62				0.0			0.0	153.2299999999998
16159	976815120	976815120	15000.0	14932.32	2016-12-02 05:51:40	67.68	target.com	US	US	09	01	online_retail	07/2025	2014-09-09	2016-10-26	748	748	2930	REVERSAL	0.0		67.68				0.0			0.0	67.68
16178	484691558	484691558	5000.0	4824.65	2016-08-03 08:48:42	175.35	ebay.com	US	US	09	01	online_retail	10/2027	2012-04-26	2012-04-26	813	813	8532	REVERSAL	0.0		175.35				0.0			0.0	175.35
16204	710782007	710782007	10000.0	6913.84	2016-02-18 11:25:15	32.34	gap.com	US	US	09	01	online_retail	03/2025	2012-07-28	2012-07-28	363	363	2745	REVERSAL	0.0		3086.16				0.0			0.0	32.33999999999969
16208	710782007	710782007	10000.0	9839.58	2016-03-01 09:58:52	160.42	alibaba.com	US	US	02	01	online_retail	06/2028	2012-07-28	2012-07-28	363	363	2745	REVERSAL	0.0		160.42				0.0			0.0	160.42
16215	710782007	710782007	10000.0	9266.23	2016-07-07 21:27:06	277.89	walmart.com	US	US	05	01	online_retail	03/2021	2012-07-28	2016-05-06	363	363	2745	REVERSAL	0.0		733.77				0.0			0.0	277.89
16220	710782007	710782007	10000.0	9415.11	2016-09-03 10:13:52	181.95	staples.com	US	US	09	01	online_retail	10/2024	2012-07-28	2016-05-06	363	363	2745	REVERSAL	0.0		584.89				0.0			0.0	181.95
16222	710782007	710782007	10000.0	8302.73	2016-10-12 20:13:51	34.09	target.com	US	US	05	01	online_retail	03/2029	2012-07-28	2016-10-01	363	363	2745	REVERSAL	0.0		1697.27				0.0			0.0	34.08999999999992
