	accountNumber	customerId	creditLimit	availableMoney	transactionDateTime	transactionAmount	merchantName	acqCountry	merchantCountryCode	posEntryMode	posConditionCode	merchantCategoryCode	currentExpDate	accountOpenDate	dateOfLastAddressChange	cardCVV	enteredCVV	cardLast4Digits	transactionType	isFraud	echoBuffer	currentBalance	merchantCity	merchantState	merchantZip	cardPresent	posOnPremises	recurringAuthInd	expirationDateKeyInMatch	currentBalanceDiff	transactionAmountDiff
2794	954119660	954119660	10000.0	2532.63	2016-12-15 19:10:49	254.31	AMC #706324	US	US	09	01	entertainment	06/2028	2015-06-19	2016-12-11	921	921	6523	PURCHASE	0.0		7467.37				1.0			0.0	254.3099999999995	0.0
2795	954119660	954119660	10000.0	3215.45	2016-12-29 16:28:46	246.19	AMC #724446	US	US	05	01	entertainment	12/2030	2015-06-19	2016-12-11	948	948	7436	PURCHASE	0.0		6784.55				1.0			0.0	246.1900000000005	0.0
2801	824163344	824163344	7500.0	7294.59	2016-12-06 02:54:10	0.77	Uber	US	US	09	01	rideshare	12/2029	2011-04-25	2011-04-25	786	786	2045	PURCHASE	0.0		205.41				0.0			0.0	0.7700000000000102	0.0
2802	569056898	569056898	500.0	382.17	2016-03-07 23:39:39	117.83	Popeyes #636662	MEX	MEX	02	01	fastfood	04/2031	2014-07-23	2014-07-23	126	126	6339	PURCHASE	0.0		117.83				1.0			0.0	117.83	0.0
2807	569056898	569056898	500.0	150.27	2016-08-28 06:20:58	96.03	In-N-Out #113467	US	US	02	01	fastfood	02/2022	2014-07-23	2016-06-26	126	126	6339	PURCHASE	0.0		349.73				1.0			0.0	96.03000000000003	0.0
2808	569056898	569056898	500.0	301.19	2016-11-17 17:53:55	198.81	Quizno's #353204	US	US	09	01	fastfood	04/2030	2014-07-23	2016-10-30	126	126	6339	PURCHASE	0.0		198.81				1.0			0.0	198.81	0.0
2837	522632181	522632181	7500.0	7276.4	2016-05-15 04:07:48	116.77	Popeyes #203711	US	US	05	01	fastfood	05/2023	2015-03-25	2016-01-07	514	514	28	PURCHASE	0.0		223.6				1.0			0.0	116.77	0.0
2839	741554990	741554990	7500.0	6395.78	2016-04-05 07:09:55	517.95	oldnavy.com	US	US	02	01	online_retail	07/2018	2012-03-04	2012-03-04	915	915	2013	PURCHASE	0.0		1104.22				0.0			0.0	517.95	0.0
2840	741554990	741554990	7500.0	2612.14	2016-08-24 13:36:56	526.76	Franks Pub #755509	US	US	90	01	food	09/2020	2012-03-04	2016-08-06	915	915	2013	PURCHASE	0.0		4887.86				1.0			0.0	526.7599999999993	0.0
2843	227628318	227628318	10000.0	4438.27	2016-04-09 05:34:59	42.05	South Drive in	US	US	05	01	food	02/2023	2015-12-06	2016-02-27	153	153	1013	PURCHASE	0.0		5561.73				1.0			0.0	42.04999999999927	0.0
2844	227628318	227628318	10000.0	3060.51	2016-05-03 23:27:27	140.31	EZ Putt Putt #755869	US	US	05	01	entertainment	12/2030	2015-12-06	2016-02-27	153	153	1013	PURCHASE	0.0		6939.49				1.0			0.0	140.3099999999995	0.0
2848	178295994	178295994	7500.0	6481.04	2016-11-11 07:30:39	73.05	EZ Putt Putt #240241	US	US	09	08	entertainment	01/2019	2015-04-11	2015-04-11	494	494	2917	PURCHASE	0.0		1018.96				1.0			0.0	73.05000000000007	0.0
2866	952782147	952782147	20000.0	16011.91	2016-02-25 14:37:30	56.5	Hardee's #385283	US	US	02	01	fastfood	09/2023	2014-08-25	2014-08-25	402	402	3123	PURCHASE	0.0		3988.09				1.0			0.0	56.5	0.0
2867	952782147	952782147	20000.0	15955.41	2016-02-25 14:37:53	56.5	Hardee's #385283	US	US	02	01	fastfood	09/2023	2014-08-25	2014-08-25	402	402	3123	PURCHASE	0.0		4044.59				1.0			0.0	56.5	0.0
2868	952782147	952782147	20000.0	17507.37	2016-05-27 13:41:37	194.91	Hardee's #398938	US	US	05	01	fastfood	11/2030	2014-08-25	2014-08-25	402	402	3123	PURCHASE	0.0		2492.63				1.0			0.0	194.9100000000003	0.0
2869	952782147	952782147	20000.0	17018.43	2016-08-22 16:57:20	210.01	Wendys #717201	US	US	05	01	fastfood	10/2031	2014-08-25	2014-08-25	402	402	3123	PURCHASE	0.0		2981.57				1.0			0.0	210.01000000000022	0.0
2888	700641128	700641128	5000.0	1410.79	2016-10-09 14:51:58	399.04	Domino's Pizza #696852	US	US	02	08	fastfood	01/2025	2013-03-15	2013-03-15	455	455	2945	PURCHASE	0.0		3589.21				1.0			0.0	399.03999999999996	0.0
2891	187261144	187261144	20000.0	19831.51	2016-03-08 22:02:19	168.49	Ricks Repair	US	US	05	01	auto	02/2028	2013-09-30	2013-09-30	564	564	2556	PURCHASE	0.0		168.49				0.0			0.0	168.49	0.0
2905	629606479	629606479	7500.0	3745.44	2016-07-22 23:32:21	141.1	Shake Shack #875648	US	US	05	08	fastfood	07/2020	2010-09-21	2016-05-15	176	176	2251	PURCHASE	0.0		3754.56				1.0			0.0	141.0999999999999	0.0
2906	629606479	629606479	7500.0	5933.78	2016-10-06 01:25:39	17.72	Auntie Anne's #966901	US	US	02	01	fastfood	11/2018	2010-09-21	2016-05-15	176	176	2251	PURCHASE	0.0		1566.22				1.0			0.0	17.720000000000027	0.0
2907	629606479	629606479	7500.0	5083.71	2016-10-07 15:06:38	352.27	AMC #606218	US	US	09	01	entertainment	08/2020	2010-09-21	2016-05-15	176	176	2251	PURCHASE	0.0		2416.29				0.0			0.0	352.27	0.0
2913	836088095	836088095	5000.0	4515.74	2016-07-06 23:19:53	128.48	Lyft	US	US	02	01	rideshare	11/2029	2015-12-18	2016-05-08	529	529	6000	PURCHASE	0.0		484.26				0.0			0.0	128.48000000000002	0.0
2927	289192253	289192253	15000.0	14062.08	2016-05-25 15:33:29	83.33	Lyft	US	US	02	01	rideshare	08/2031	2013-07-11	2013-07-11	905	905	8072	PURCHASE	0.0		937.92				0.0			0.0	83.32999999999993	0.0
2934	594901853	594901853	7500.0	772.24	2016-09-27 11:48:55	102.56	target.com	US	US	02	01	online_retail	06/2025	2015-11-04	2015-11-04	235	235	3182	PURCHASE	0.0		6727.76				0.0			0.0	102.5600000000004	0.0
2935	594901853	594901853	7500.0	669.68	2016-09-27 11:50:26	102.56	target.com	US	US	02	01	online_retail	06/2025	2015-11-04	2015-11-04	235	235	3182	PURCHASE	0.0		6830.32				0.0			0.0	102.55999999999949	0.0
2953	426395136	426395136	5000.0	4691.06	2016-10-10 23:33:12	164.16	Uber	US	US	09	01	rideshare	09/2024	2015-09-03	2015-09-03	232	232	8916	PURCHASE	0.0		308.94				0.0			0.0	164.16	0.0
2968	513829169	513829169	250.0	145.85	2016-09-27 20:05:48	337.56	South Steakhouse #335249	US	US	09	01	food	09/2028	2009-03-03	2009-03-03	616	616	2331	PURCHASE	0.0		104.15				1.0			0.0	-17.419999999999987	0.0
2975	365107552	365107552	250.0	198.3	2016-04-25 09:19:07	2.45	Regal Cinemas #05791	US	US	02	01	entertainment	02/2023	2015-09-30	2015-09-30	861	861	6335	PURCHASE	0.0		51.7				0.0			0.0	-189.27999999999997	0.0
2976	353215513	353215513	7500.0	1934.32	2016-01-06 03:07:21	117.43	West End Beauty #72256	US	US	09	01	personal care	04/2024	2013-07-04	2013-07-04	986	986	2705	PURCHASE	0.0		5565.68				1.0			0.0	117.43000000000029	0.0
2980	353215513	353215513	7500.0	5618.38	2016-01-12 23:53:35	321.33	EZ Putt Putt #503815	US	US	09	01	entertainment	12/2028	2013-07-04	2013-07-04	986	986	2705	PURCHASE	0.0		1881.62				1.0			0.0	321.3299999999999	0.0
2981	353215513	353215513	7500.0	2936.28	2016-01-18 07:46:17	83.27	Boston Cafe #465229	US	US	05	08	food	09/2030	2013-07-04	2013-07-04	986	986	2705	PURCHASE	0.0		4563.72				1.0			0.0	83.27000000000044	0.0
2982	353215513	353215513	7500.0	2123.81	2016-01-21 13:55:55	142.95	Dinosaur Sandwitch Bar #303701	US	US	09	08	food	04/2023	2013-07-04	2013-07-04	986	986	2705	PURCHASE	0.0		5376.19				1.0			0.0	142.94999999999982	0.0
2983	353215513	353215513	7500.0	1078.12	2016-01-22 01:18:27	442.64	Best Deli #100511	US	US	09	08	food	02/2030	2013-07-04	2013-07-04	986	986	2705	PURCHASE	0.0		6421.88				1.0			0.0	442.6400000000003	0.0
2985	353215513	353215513	7500.0	3850.5	2016-01-26 22:40:51	60.36	West End Beauty #442869	US	US	05	01	personal care	12/2029	2013-07-04	2016-01-26	986	986	2705	PURCHASE	0.0		3649.5				1.0			0.0	60.36000000000013	0.0
2993	353215513	353215513	7500.0	1849.03	2016-03-10 10:17:47	87.41	Universe Massage #95463	CAN	CAN	05	08	personal care	08/2020	2013-07-04	2016-01-26	986	986	2705	PURCHASE	0.0		5650.97				1.0			0.0	87.40999999999985	0.0
2997	353215513	353215513	7500.0	2130.92	2016-04-09 04:06:42	219.05	Boston Bistro	US	US	05	01	food	12/2021	2013-07-04	2016-03-17	986	986	2705	PURCHASE	0.0		5369.08				1.0			0.0	219.05000000000018	0.0
2998	353215513	353215513	7500.0	1911.87	2016-04-09 04:08:12	219.05	Boston Bistro	US	US	05	01	food	12/2021	2013-07-04	2016-03-17	986	986	2705	PURCHASE	0.0		5588.13				1.0			0.0	219.05000000000018	0.0
3004	353215513	353215513	7500.0	3910.24	2016-06-05 01:50:02	37.77	AMC #79863	US	US	05	01	entertainment	05/2031	2013-07-04	2016-05-11	986	986	2705	PURCHASE	0.0		3589.76				1.0			0.0	37.77000000000044	0.0
3005	353215513	353215513	7500.0	5584.19	2016-06-26 21:50:36	33.2	AMC #191138	US	US	02	01	entertainment	06/2031	2013-07-04	2016-05-11	986	986	2705	PURCHASE	0.0		1915.81				0.0			0.0	33.200000000000045	0.0
3008	353215513	353215513	7500.0	2581.3	2016-07-01 17:13:02	46.36	Boston Bistro	US	US	02	01	food	11/2023	2013-07-04	2016-05-11	986	986	2705	PURCHASE	0.0		4918.7				1.0			0.0	46.35999999999967	0.0
3009	353215513	353215513	7500.0	2173.51	2016-07-02 07:10:00	9.75	Boston Cafe #105215	US	US	05	01	food	05/2031	2013-07-04	2016-05-11	986	986	2705	PURCHASE	0.0		5326.49				1.0			0.0	9.75	0.0
3010	353215513	353215513	7500.0	2147.23	2016-07-05 14:08:38	18.89	Best Bistro #262998	US	US	02	08	food	10/2020	2013-07-04	2016-05-11	986	986	2705	PURCHASE	0.0		5352.77				1.0			0.0	18.890000000000327	0.0
3014	353215513	353215513	7500.0	1459.02	2016-07-20 14:43:48	18.56	LES Pizza	US	US	02	08	food	04/2024	2013-07-04	2016-05-11	986	986	2705	PURCHASE	0.0		6040.98				1.0			0.0	18.55999999999949	0.0
3015	353215513	353215513	7500.0	2673.11	2016-07-27 18:07:11	261.03	Universe Massage #958412	US	US	09	01	personal care	11/2025	2013-07-04	2016-05-11	986	986	2705	PURCHASE	0.0		4826.89				1.0			0.0	261.03000000000065	0.0
3016	353215513	353215513	7500.0	765.02	2016-08-03 01:16:25	48.04	AMC #79863	US	US	09	01	entertainment	06/2026	2013-07-04	2016-05-11	986	986	2705	PURCHASE	0.0		6734.98				0.0			0.0	48.039999999999964	0.0
3018	353215513	353215513	7500.0	5507.59	2016-08-08 16:45:37	39.01	South Steakhouse #378389	US	US	05	01	food	04/2027	2013-07-04	2016-05-11	986	986	2705	PURCHASE	0.0		1992.41				1.0			0.0	39.00999999999999	0.0
3019	353215513	353215513	7500.0	3218.09	2016-08-15 23:44:02	129.89	EZ Putt Putt #804489	US	US	05	01	entertainment	04/2020	2013-07-04	2016-05-11	986	986	2705	PURCHASE	0.0		4281.91				1.0			0.0	129.88999999999942	0.0
3021	353215513	353215513	7500.0	3667.97	2016-09-05 14:49:05	43.27	Dinosaur Drive in	US	US	02	01	food	05/2023	2013-07-04	2016-05-11	986	966	2705	PURCHASE	0.0		3832.03				1.0			0.0	43.26999999999998	0.0
3022	353215513	353215513	7500.0	3624.7	2016-09-05 14:49:08	43.27	Dinosaur Drive in	US	US	02	01	food	05/2023	2013-07-04	2016-05-11	986	966	2705	PURCHASE	0.0		3875.3				1.0			0.0	43.26999999999998	0.0
3033	353215513	353215513	7500.0	4137.72	2016-10-31 06:23:35	296.22	EZ Putt Putt #40513	US	US	02	08	entertainment	11/2030	2013-07-04	2016-05-11	986	986	2705	PURCHASE	0.0		3362.28				1.0			0.0	296.22000000000025	0.0
3034	353215513	353215513	7500.0	3841.5	2016-10-31 06:24:01	296.22	EZ Putt Putt #40513	US	US	02	08	entertainment	11/2030	2013-07-04	2016-05-11	986	986	2705	PURCHASE	0.0		3658.5				1.0			0.0	296.2199999999998	0.0
3039	353215513	353215513	7500.0	4035.08	2016-12-04 00:00:18	29.32	AMC #552863	US	US	02	01	entertainment	01/2030	2013-07-04	2016-11-27	986	986	2705	PURCHASE	0.0		3464.92				1.0			0.0	29.320000000000164	0.0
3051	240903935	240903935	50000.0	49829.0	2016-12-04 18:43:31	113.17	Domino's Pizza #875198	US	US	05	01	fastfood	12/2027	2014-11-16	2014-11-16	575	575	6003	PURCHASE	0.0		171.0				1.0			0.0	113.17	0.0
3052	570897253	570897253	50000.0	48727.02	2016-01-19 16:26:39	35.87	Uber	US	US	05	01	rideshare	05/2030	2015-02-05	2015-02-05	138	138	3931	PURCHASE	0.0		1272.98				0.0			0.0	35.87000000000012	0.0
3053	570897253	570897253	50000.0	48390.68	2016-06-29 23:14:14	50.96	Uber	US	US	05	08	rideshare	03/2031	2015-02-05	2015-02-05	717	717	8214	PURCHASE	0.0		1609.32				0.0			0.0	50.960000000000036	0.0
3056	278441572	278441572	5000.0	3868.13	2016-07-04 20:10:30	6.32	Blue Mountain Online Services	US	US	90	01	online_gifts	12/2021	2015-11-10	2015-11-10	236	236	6579	PURCHASE	0.0		1131.87				0.0			0.0	6.319999999999936	0.0
3058	278441572	278441572	5000.0	4103.08	2016-12-13 19:51:08	105.9	ebay.com	US	US	02	01	online_retail	06/2022	2015-11-10	2016-12-07	529	529	5538	PURCHASE	0.0		896.92				0.0			0.0	105.89999999999998	0.0
3081	902761400	902761400	20000.0	19900.41	2016-12-15 05:40:47	86.46	Domino's Pizza #934093	US	US	05	01	fastfood	10/2024	2015-05-01	2015-05-01	793	793	8979	PURCHASE	0.0		99.59				1.0			0.0	86.46000000000001	0.0
3090	462381231	462381231	500.0	82.19	2016-05-19 16:34:38	18.32	EZ Putt Putt #69446	US	US	02	08	entertainment	02/2031	2015-08-27	2015-08-27	710	710	5732	PURCHASE	0.0		417.81				1.0			0.0	-84.94999999999999	0.0
3092	462381231	462381231	500.0	424.28	2016-09-05 22:21:21	57.19	EZ Putt Putt #40513	CAN	CAN	05	08	entertainment	02/2020	2015-08-27	2015-08-27	422	422	9805	PURCHASE	0.0		75.72				1.0			0.0	57.19	0.0
3100	896573889	896573889	15000.0	12973.24	2016-01-28 14:31:48	12.84	Uber	US	US	05	01	rideshare	09/2023	2011-12-12	2011-12-12	231	231	4250	PURCHASE	0.0		2026.76				0.0			0.0	12.839999999999918	0.0
3101	896573889	896573889	15000.0	12177.73	2016-02-03 05:14:21	346.39	Icelandic Airlines	US	US	09	01	airline	11/2023	2011-12-12	2011-12-12	231	231	4250	PURCHASE	0.0		2822.27				0.0			0.0	346.3899999999999	0.0
3102	896573889	896573889	15000.0	9121.21	2016-03-26 17:51:36	112.69	United Airlines	US	US	05	01	airline	02/2031	2011-12-12	2011-12-12	231	231	4250	PURCHASE	0.0		5878.79				0.0			0.0	112.6899999999996	0.0
3108	899404344	899404344	5000.0	2452.97	2016-12-24 19:56:04	55.57	Uber	US	US	09	08	rideshare	08/2019	2012-03-22	2012-03-22	279	279	8069	PURCHASE	0.0		2547.03				0.0			0.0	55.570000000000164	0.0
3113	313507595	313507595	5000.0	1883.36	2016-03-10 17:16:44	1.76	Planet Fitness #243981	US	US	05	01	health	02/2024	2011-07-29	2011-07-29	258	258	7604	PURCHASE	0.0		3116.64				1.0			0.0	1.7599999999997635	0.0
3116	313507595	313507595	5000.0	2669.58	2016-07-11 18:20:00	215.23	Best Fries	US	US	02	01	food	12/2019	2011-07-29	2011-07-29	258	258	7604	PURCHASE	0.0		2330.42				1.0			0.0	215.23000000000002	0.0
3119	307814411	307814411	10000.0	9841.11	2016-09-14 04:19:11	140.64	Next Day Online Services	US	US	02	08	online_gifts	11/2021	2015-05-23	2015-05-23	200	200	1192	PURCHASE	0.0		158.89				0.0			0.0	140.64	0.0
3125	539967866	539967866	2500.0	1485.54	2016-10-07 14:05:50	202.96	Hardee's #73764	US	US	02	01	fastfood	03/2026	2015-09-12	2015-09-12	936	936	5988	PURCHASE	0.0		1014.46				0.0			0.0	202.96000000000004	0.0
3132	460693069	460693069	5000.0	3132.34	2016-02-10 00:34:39	76.2	Fresh Flowers	US	US	09	08	online_gifts	03/2019	2013-05-27	2013-05-27	582	582	3577	PURCHASE	0.0		1867.66				0.0			0.0	76.20000000000005	0.0
3133	460693069	460693069	5000.0	4973.87	2016-04-01 15:17:09	26.13	In-N-Out #791113	US	US	02	01	fastfood	10/2028	2013-05-27	2013-05-27	582	582	3577	PURCHASE	0.0		26.13				1.0			0.0	26.13	0.0
3134	460693069	460693069	5000.0	3225.68	2016-08-11 10:41:07	103.55	Krispy Kreme #677290	US	US	05	08	fastfood	01/2032	2013-05-27	2016-06-25	582	582	3577	PURCHASE	0.0		1774.32				1.0			0.0	103.54999999999995	0.0
3137	460693069	460693069	5000.0	1795.21	2016-10-29 14:57:07	251.21	Mobile eCards	US	US	09	01	online_gifts	06/2022	2013-05-27	2016-06-25	582	582	3577	PURCHASE	0.0		3204.79				0.0			0.0	251.21000000000004	0.0
3138	460693069	460693069	5000.0	1544.0	2016-10-29 14:57:26	251.21	Mobile eCards	US	US	09	01	online_gifts	06/2022	2013-05-27	2016-06-25	582	582	3577	PURCHASE	0.0		3456.0				0.0			0.0	251.21000000000004	0.0
3139	780533791	780533791	2500.0	1457.16	2016-03-11 19:30:19	39.18	staples.com	US	US	09	01	online_retail	12/2026	2013-12-20	2013-12-20	287	287	8350	PURCHASE	0.0		1042.84				0.0			0.0	39.17999999999995	0.0
3141	408242042	408242042	2500.0	2451.11	2016-01-06 22:58:43	48.89	Lyft	US	US	02	01	rideshare	10/2031	2014-10-14	2014-10-14	102	102	2048	PURCHASE	0.0		48.89				0.0			0.0	48.89	0.0
3142	408242042	408242042	2500.0	2304.8	2016-01-11 20:15:20	97.42	Boston Diner	US	US	09	08	food	08/2029	2014-10-14	2014-10-14	166	166	9091	PURCHASE	0.0		195.2				1.0			0.0	97.41999999999999	0.0
3143	408242042	408242042	2500.0	1569.83	2016-06-14 01:26:33	13.52	Uber	US	US	80	01	rideshare	04/2023	2014-10-14	2014-10-14	102	102	2048	PURCHASE	0.0		930.17				0.0			0.0	13.519999999999982	0.0
3144	739341340	739341340	10000.0	3655.63	2016-07-13 22:19:32	279.17	West End Beauty #721713	US	US	05	01	personal care	03/2021	2006-12-21	2006-12-21	569	569	214	PURCHASE	0.0		6344.37				1.0			0.0	279.1700000000001	0.0
3147	105856165	105856165	15000.0	9745.05	2016-07-05 17:02:24	486.53	gap.com	US	US	09	01	online_retail	10/2028	2010-01-21	2010-01-21	921	921	177	PURCHASE	0.0		5254.95				0.0			0.0	486.52999999999975	0.0
3151	910893563	910893563	15000.0	14864.43	2016-02-02 16:56:11	105.63	Uber	US	US	05	01	rideshare	09/2028	2015-05-03	2015-05-03	701	701	5766	PURCHASE	0.0		135.57				0.0			0.0	105.63	0.0
3152	910893563	910893563	15000.0	12886.47	2016-06-21 13:07:14	31.59	alibaba.com	US	US	02	01	online_retail	12/2024	2015-05-03	2015-05-03	701	701	5766	PURCHASE	0.0		2113.53				0.0			0.0	31.590000000000146	0.0
3153	910893563	910893563	15000.0	12854.88	2016-06-21 13:07:59	31.59	alibaba.com	US	US	02	01	online_retail	12/2024	2015-05-03	2015-05-03	701	701	5766	PURCHASE	0.0		2145.12				0.0			0.0	31.58999999999969	0.0
3154	910893563	910893563	15000.0	14570.73	2016-10-02 15:14:21	429.27	gap.com	US	US	09	08	online_retail	01/2019	2015-05-03	2016-06-30	701	701	5766	PURCHASE	0.0		429.27				0.0			0.0	429.27	0.0
3166	767973887	767973887	15000.0	14592.1	2016-06-04 18:24:43	407.9	Wendys #676039	US	US	09	01	fastfood	07/2023	2014-06-18	2016-03-16	147	147	1944	PURCHASE	0.0		407.9				1.0			0.0	407.9	0.0
3167	767973887	767973887	15000.0	14421.17	2016-07-16 17:47:15	66.18	Hardee's #918765	US	US	05	01	fastfood	12/2020	2014-06-18	2016-03-16	147	147	1944	PURCHASE	0.0		578.83				1.0			0.0	66.18000000000006	0.0
3168	767973887	767973887	15000.0	14636.15	2016-10-18 20:52:16	17.61	Popeyes #327472	US	US	09	01	fastfood	04/2031	2014-06-18	2016-03-16	147	147	1944	PURCHASE	0.0		363.85				1.0			0.0	17.610000000000014	0.0
3177	587820941	587820941	15000.0	9558.61	2016-11-10 17:56:11	67.83	oldnavy.com	US	US	09	01	online_retail	07/2020	2014-11-12	2014-11-12	875	875	4330	PURCHASE	0.0		5441.39				0.0			0.0	67.82999999999993	0.0
3178	578459338	578459338	10000.0	9927.51	2016-02-25 05:55:55	60.88	American Airlines	US	US	05	01	airline	05/2024	2008-10-13	2008-10-13	424	424	7850	PURCHASE	0.0		72.49				0.0			0.0	60.879999999999995	0.0
3194	517970668	517970668	5000.0	4842.36	2016-11-17 15:09:43	265.45	gap.com	US	US	09	08	online_retail	01/2031	2011-06-06	2011-06-06	917	917	3479	PURCHASE	0.0		157.64				0.0			0.0	-4520.78	0.0
3198	904882115	904882115	10000.0	9393.81	2016-02-15 22:17:48	65.35	Lyft	US	US	09	01	rideshare	04/2020	2015-10-14	2015-10-14	464	464	4063	PURCHASE	0.0		606.19				0.0			0.0	65.35000000000002	0.0
3228	640381056	640381056	7500.0	3563.16	2016-02-20 11:45:30	124.51	cheapfast.com	US	US	09	08	online_retail	02/2021	2013-12-28	2013-12-28	209	209	3606	PURCHASE	1.0		3936.84				0.0			0.0	124.51000000000022	0.0
3230	640381056	640381056	7500.0	5004.23	2016-04-26 20:49:10	41.53	target.com	US	US	05	08	online_retail	09/2026	2013-12-28	2013-12-28	209	209	3606	PURCHASE	0.0		2495.77				0.0			0.0	41.5300000000002	0.0
3231	640381056	640381056	7500.0	6786.45	2016-09-15 11:35:02	8.67	target.com	US	US	02	01	online_retail	03/2022	2013-12-28	2016-09-14	209	209	3606	PURCHASE	0.0		713.55				0.0			0.0	8.669999999999959	0.0
3234	124350476	124350476	7500.0	1248.48	2016-05-10 00:06:34	183.57	ebay.com	US	US	05	08	online_retail	12/2023	2014-12-05	2016-04-04	782	782	2378	PURCHASE	0.0		6251.52				0.0			0.0	183.57000000000062	0.0
3248	618314172	618314172	15000.0	13221.9	2016-06-05 10:41:37	139.53	gap.com	US	US	09	01	online_retail	06/2018	2015-05-04	2015-05-04	341	341	5157	PURCHASE	0.0		1778.1				0.0			0.0	139.52999999999997	0.0
3249	618314172	618314172	15000.0	13082.37	2016-06-05 10:41:53	139.53	gap.com	US	US	09	01	online_retail	06/2018	2015-05-04	2015-05-04	341	341	5157	PURCHASE	0.0		1917.63				0.0			0.0	139.5300000000002	0.0
3266	482048433	482048433	5000.0	4145.89	2016-04-15 02:13:34	140.39	alibaba.com	US	US	05	01	online_retail	02/2031	2009-07-26	2016-03-09	628	628	2835	PURCHASE	0.0		854.11				0.0			0.0	140.39	0.0
3274	669951230	669951230	1000.0	472.74	2016-10-05 00:36:16	65.27	In-N-Out #683809	US	US	02	01	fastfood	10/2023	2015-03-05	2016-08-14	226	226	3453	PURCHASE	0.0		527.26				1.0			0.0	65.26999999999998	0.0
3280	913088788	913088788	15000.0	11765.39	2016-01-13 17:46:49	199.08	Universe Massage #596422	US	US	05	01	personal care	09/2029	2015-08-01	2015-08-01	173	173	989	PURCHASE	0.0		3234.61				1.0			0.0	199.07999999999993	0.0
3283	913088788	913088788	15000.0	8852.57	2016-01-26 17:34:03	22.75	Boston Cafe #592935	US	US	09	01	food	06/2031	2015-08-01	2015-08-01	173	173	989	PURCHASE	0.0		6147.43				1.0			0.0	22.75	0.0
3285	913088788	913088788	15000.0	13618.32	2016-04-05 14:20:33	352.48	AMC #606218	US	US	05	01	entertainment	09/2018	2015-08-01	2015-08-01	173	173	989	PURCHASE	0.0		1381.68				1.0			0.0	352.48	0.0
3289	913088788	913088788	15000.0	10806.46	2016-08-27 05:31:17	9.95	Subway #596207	US	US	02	01	fastfood	10/2027	2015-08-01	2015-08-01	173	173	989	PURCHASE	0.0		4193.54				1.0			0.0	9.949999999999818	0.0
3290	913088788	913088788	15000.0	12648.12	2016-09-24 21:42:56	34.93	Downtown Sandwitch Bar	US	US	05	01	food	10/2030	2015-08-01	2015-08-01	173	173	989	PURCHASE	0.0		2351.88				1.0			0.0	34.93000000000029	0.0
3298	809194559	809194559	5000.0	2197.72	2016-08-16 17:38:59	336.07	Franks Deli	US	US	05	01	food	12/2021	2015-01-08	2016-05-14	515	515	7718	PURCHASE	0.0		2802.28				1.0			0.0	336.07000000000016	0.0
3299	809194559	809194559	5000.0	3074.46	2016-10-06 13:35:52	232.59	Franks Pub #53336	US	US	09	01	food	09/2030	2015-01-08	2016-05-14	515	515	7718	PURCHASE	0.0		1925.54				1.0			0.0	232.58999999999992	0.0
3300	809194559	809194559	5000.0	2841.87	2016-10-06 13:36:42	232.59	Franks Pub #53336	US	US	09	01	food	09/2030	2015-01-08	2016-05-14	515	515	7718	PURCHASE	0.0		2158.13				1.0			0.0	232.59000000000015	0.0
3305	936795603	936795603	5000.0	4845.85	2016-02-13 18:15:57	71.0	Uber	US	US	05	01	rideshare	05/2023	2014-02-27	2014-02-27	933	933	696	PURCHASE	0.0		154.15				0.0			0.0	71.0	0.0
3312	219161133	219161133	20000.0	19870.58	2016-02-10 07:15:34	102.34	Dinosaur Sandwitch Bar #303701	US	US	05	01	food	12/2021	2015-01-12	2015-01-12	317	317	2123	PURCHASE	0.0		129.42				1.0			0.0	102.33999999999999	0.0
3314	219161133	219161133	20000.0	19489.95	2016-10-18 03:16:09	46.06	Uptown Cafe	US	US	80	01	food	10/2028	2015-01-12	2015-01-12	389	389	2624	PURCHASE	0.0		510.05				1.0			0.0	46.06	0.0
3315	219161133	219161133	20000.0	18861.49	2016-10-19 05:21:05	582.4	1st Deli	US	US	02	01	food	03/2029	2015-01-12	2015-01-12	317	317	2123	PURCHASE	0.0		1138.51				1.0			0.0	582.4	0.0
3321	979187005	979187005	5000.0	422.73	2016-03-08 17:26:47	148.69	staples.com	US	US	02	08	online_retail	06/2020	2015-03-16	2016-01-29	741	741	2315	PURCHASE	0.0		4577.27				0.0			0.0	148.6900000000005	0.0
3323	979187005	979187005	5000.0	1700.43	2016-05-26 03:16:16	279.37	1st Sandwitch Bar #772439	US	US	09	01	food	04/2026	2015-03-16	2016-01-29	741	741	2315	PURCHASE	0.0		3299.57				1.0			0.0	279.37000000000035	0.0
3326	979187005	979187005	5000.0	2150.38	2016-06-05 20:35:26	280.68	Downtown Pub	US	US	05	01	food	07/2029	2015-03-16	2016-01-29	741	741	2315	PURCHASE	0.0		2849.62				1.0			0.0	280.67999999999984	0.0
3331	979187005	979187005	5000.0	2448.39	2016-07-12 16:27:36	10.82	Lyft	US	US	05	01	rideshare	12/2019	2015-03-16	2016-07-05	741	741	2315	PURCHASE	0.0		2551.61				0.0			0.0	10.820000000000164	0.0
3333	979187005	979187005	5000.0	3190.98	2016-08-13 23:26:22	33.2	Domino's Pizza #454231	US	US	09	01	fastfood	02/2027	2015-03-16	2016-07-22	741	741	2315	PURCHASE	0.0		1809.02				1.0			0.0	33.200000000000045	0.0
